pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
262527	Barakote S.O	S.O	Delivery	Pithoragarh	Dehradun	Uttarakhand	Lohaghat	Champawat	UTTARAKHAND
262527	Bardakhan B.O	B.O	Delivery	Pithoragarh	Dehradun	Uttarakhand	Lohaghat	Champawat	UTTARAKHAND
262527	Kothera B.O	B.O	Delivery	Pithoragarh	Dehradun	Uttarakhand	Lohaghat	Champawat	UTTARAKHAND
262527	Raigaon B.O	B.O	Delivery	Pithoragarh	Dehradun	Uttarakhand	Lohaghat	Champawat	UTTARAKHAND
262527	Simalkhet B.O	B.O	Delivery	Pithoragarh	Dehradun	Uttarakhand	Lohaghat	Champawat	UTTARAKHAND
262527	Sungarkhal B.O	B.O	Delivery	Pithoragarh	Dehradun	Uttarakhand	Lohaghat	Champawat	UTTARAKHAND
