pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
222148	Brahmanpur B.O	B.O	Delivery	Jaunpur	Allahabad	Uttar Pradesh	Kerakat	Jaunpur	UTTAR PRADESH
222148	Koilari B.O	B.O	Delivery	Jaunpur	Allahabad	Uttar Pradesh	Kerakat	Jaunpur	UTTAR PRADESH
222148	Leorua S.O	S.O	Delivery	Jaunpur	Allahabad	Uttar Pradesh	Kerakat	Jaunpur	UTTAR PRADESH
222148	Senapur B.O	B.O	Delivery	Jaunpur	Allahabad	Uttar Pradesh	Kerakat	Jaunpur	UTTAR PRADESH
222148	Verdiha B.O	B.O	Delivery	Jaunpur	Allahabad	Uttar Pradesh	Kerakat	Jaunpur	UTTAR PRADESH
