pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
144039	Bhallowal B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Bhandal Himmat B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Chuheki B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Phillaur	Jalandhar	PUNJAB
144039	Gumtala B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Gumtali B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Kandola Kalan B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Kot Badal Khan B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Phillaur	Jalandhar	PUNJAB
144039	Nurmahal S.O	S.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Ramewal B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Saidowal B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Phillaur	Jalandhar	PUNJAB
144039	Shadipur B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Talwan B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Umarpur Kalan B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Phillaur	Jalandhar	PUNJAB
144039	Uppal Bhupa B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
144039	Uppal Jagir B.O	B.O	Delivery	Kapurthala	Chandigarh Region	Punjab	Nakodar	Jalandhar	PUNJAB
