pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
506391	Cherlapalli B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Chowtaparthy B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Kantatmakur B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Kowkonda B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Nadikuda S.O	S.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	So	Warangal	ANDHRA PRADESH
506391	Nagaram B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Narlapur B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Narsakkapalli B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Puligilla B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Raiparthy B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Varikol B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
506391	Vellampalli B.O	B.O	Delivery	Hanamkonda	Hyderabad	Andhra Pradesh	Parkal	Warangal	ANDHRA PRADESH
