pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
275202	Baragaon B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Saidpur	Ghazipur	UTTAR PRADESH
275202	Dhamupur B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
275202	Dullahpur S.O	S.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
275202	Hardaspur Kalan B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
275202	Jalalabad B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
275202	Lediha B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
275202	Orarai B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
275202	Rehti Malipur B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
275202	Sikhari B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhanian **	Ghazipur	UTTAR PRADESH
275202	Tirchhi B.O	B.O	Delivery	Ghazipur	Allahabad	Uttar Pradesh	Jakhania	Ghazipur	UTTAR PRADESH
