pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
415002	Ambavade Bk B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Andhari B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Are B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Asangaon B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Bamanoli B.O	B.O	Delivery	Satara	Pune	Maharashtra	Jawali	Satara	MAHARASHTRA
415002	Bhatmarli B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Budhawar Naka Satara S.O	S.O	Non-Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	ITI Satara B.O	B.O	Non-Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Jakatwadi B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Karandi B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Kondhav Satara B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Kumthe B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Mahawshi B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Mangalwar Peth Satara S.O	S.O	Non-Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Munawale B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Prtri B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Sataracity S.O	S.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Shahupuri Satara S.O	S.O	Non-Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Songaon B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Tetali B.O	B.O	Delivery	Satara	Pune	Maharashtra	Jawali	Satara	MAHARASHTRA
415002	Yadogophal Peth S.O	S.O	Non-Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
415002	Yevateshwar B.O	B.O	Delivery	Satara	Pune	Maharashtra	Satara	Satara	MAHARASHTRA
