pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
212402	Bahadurgarh Arwasi B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phulpur	Allahabad	UTTAR PRADESH
212402	Chamrupur Urf Nantaut B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phoolpur	Allahabad	UTTAR PRADESH
212402	Chandopara B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phoolpur	Allahabad	UTTAR PRADESH
212402	Deewanganj B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Handia	Allahabad	UTTAR PRADESH
212402	Deoli B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phoolpur	Allahabad	UTTAR PRADESH
212402	Gorigon B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phulpur	Allahabad	UTTAR PRADESH
212402	Jalalpur Kasba B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phoolpur	Allahabad	UTTAR PRADESH
212402	Kanethi B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phoolpur	Allahabad	UTTAR PRADESH
212402	Kapsa B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phoolpur	Allahabad	UTTAR PRADESH
212402	Katrauli B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Handia	Allahabad	UTTAR PRADESH
212402	Mailahan B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Phoolpur	Allahabad	UTTAR PRADESH
212402	Phoolpur S.O	S.O	Delivery	Allahabad	Allahabad	Uttar Pradesh	Handia	Allahabad	UTTAR PRADESH
212402	Pratappur B.O	B.O	Delivery	Allahabad	Allahabad	Uttar Pradesh	Handia	Allahabad	UTTAR PRADESH
212402	Ramgarh Kothari B.O	B.O	Non-Delivery	Allahabad	Allahabad	Uttar Pradesh	Handia	Allahabad	UTTAR PRADESH
212402	Saraj Mamrej B.O	B.O	Delivery	Allahabad	Allahabad	Uttar Pradesh	Handia	Allahabad	UTTAR PRADESH
