pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
481116	Gudma B.O	B.O	Delivery	Balaghat	Bhopal HQ	Madhya Pradesh	Baihar	Balaghat	MADHYA PRADESH
481116	Janpur B.O	B.O	Delivery	Balaghat	Bhopal HQ	Madhya Pradesh	Baihar	Balaghat	MADHYA PRADESH
481116	Karamsara B.O	B.O	Delivery	Balaghat	Bhopal HQ	Madhya Pradesh	Baihar	Balaghat	MADHYA PRADESH
481116	Karhu B.O	B.O	Delivery	Balaghat	Bhopal HQ	Madhya Pradesh	Baihar	Balaghat	MADHYA PRADESH
481116	Malanjkhand S.O	S.O	Delivery	Balaghat	Bhopal HQ	Madhya Pradesh	Baihar	Balaghat	MADHYA PRADESH
481116	Mohgaon (B) B.O	B.O	Delivery	Balaghat	Bhopal HQ	Madhya Pradesh	Baihar	Balaghat	MADHYA PRADESH
481116	Nikkum B.O	B.O	Delivery	Balaghat	Bhopal HQ	Madhya Pradesh	Baihar	Balaghat	MADHYA PRADESH
