pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
262124	Chandupur B.O	B.O	Delivery	Bareilly	Bareilly	Uttar Pradesh	Puranpur	Pilibhit	UTTAR PRADESH
262124	Jamunia B.O	B.O	Delivery	Bareilly	Bareilly	Uttar Pradesh	Puranpur	Pilibhit	UTTAR PRADESH
262124	Kali Nagar S.O	S.O	Delivery	Bareilly	Bareilly	Uttar Pradesh	Pilibhit	Pilibhit	UTTAR PRADESH
262124	MATHANA  JAPTI B.O	B.O	Delivery	Bareilly	Bareilly	Uttar Pradesh	Pilibhit	Pilibhit	UTTAR PRADESH
262124	Piperia Santosh B.O	B.O	Delivery	Bareilly	Bareilly	Uttar Pradesh	Puranpur	Pilibhit	UTTAR PRADESH
