pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
142025	Bharowal B.O	B.O	Delivery	Ludhiana Moffusil	Chandigarh HQ	Punjab	Ludhiana	Ludhiana	PUNJAB
142025	Bhundri B.O	B.O	Delivery	Ludhiana Moffusil	Chandigarh HQ	Punjab	Ludhiana	Ludhiana	PUNJAB
142025	Khanjarwal B.O	B.O	Delivery	Ludhiana Moffusil	Chandigarh HQ	Punjab	Ludhiana	Ludhiana	PUNJAB
142025	Majri B.O	B.O	Delivery	Ludhiana Moffusil	Chandigarh HQ	Punjab	Ludhiana	Ludhiana	PUNJAB
142025	Sowaddi S.O	S.O	Delivery	Ludhiana Moffusil	Chandigarh HQ	Punjab	Jagraon	Ludhiana	PUNJAB
142025	Talwandi Kalan B.O	B.O	Delivery	Ludhiana Moffusil	Chandigarh HQ	Punjab	Jagraon	Ludhiana	PUNJAB
142025	Talwandi Khurd B.O	B.O	Delivery	Ludhiana Moffusil	Chandigarh HQ	Punjab	Jagraon	Ludhiana	PUNJAB
