pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
382830	Dagavadia B.O	B.O	Delivery	Mahesana	Ahmedabad HQ	Gujarat	Vijapur	Mahesana	GUJARAT
382830	Devda B.O	B.O	Delivery	Mahesana	Ahmedabad HQ	Gujarat	Vijapur	Mahesana	GUJARAT
382830	Kelisana B.O	B.O	Delivery	Mahesana	Ahmedabad HQ	Gujarat	Vijapur	Mahesana	GUJARAT
382830	Kukarwada S.O	S.O	Delivery	Mahesana	Ahmedabad HQ	Gujarat	Vijapur	Mahesana	GUJARAT
382830	Sokhda B.O	B.O	Delivery	Mahesana	Ahmedabad HQ	Gujarat	Vijapur	Mahesana	GUJARAT
382830	Vadasan B.O	B.O	Delivery	Mahesana	Ahmedabad HQ	Gujarat	Vijapur	Mahesana	GUJARAT
