pincode	officename	officeType	Deliverystatus	divisionname	regionname	circlename	Taluk	Districtname	statename
455227	Agurli B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Bagli S.O	S.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Bhamori B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Chandpura B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Chapda B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Guradiakalan B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Kamlapur B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Matmautr B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Pandutalab B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Pankua B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Pipri B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Punjapura B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Ratanpur B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Bagli	Dewas	MADHYA PRADESH
455227	Udaynagar B.O	B.O	Delivery	Indore Moffusil	Indore	Madhya Pradesh	Dewas	Dewas	MADHYA PRADESH
