pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
325221,Ajnawar B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Bamorighata B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Banjari B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Bhavpura B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Bilendi B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Chhipa Barod S.O,S.O,Delivery,Kota,Ajmer,Rajasthan,Kota,Baran,RAJASTHAN
325221,Deori B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Dholam B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Digod Jagir B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Digod Kalan B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Gagchana B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Gordhanpra B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Harnawda Shaji ED B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Kota,Baran,RAJASTHAN
325221,Jhinjhni B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Kachnariya B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Kalmodiya B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Kalpajagir B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Khajuria B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Mohkampura B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Rai B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Sahjanpur B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Sarthal B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
325221,Sethkolu B.O,B.O,Delivery,Kota,Ajmer,Rajasthan,Baran,Baran,RAJASTHAN
