pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
470223,Baheriya Kalan B.O,B.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Sagar,Sagar,MADHYA PRADESH
470223,Gaurjhamar S.O,S.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Deori,Sagar,MADHYA PRADESH
470223,Jaitpur Doga B.O,B.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Kesli,Sagar,MADHYA PRADESH
470223,Jaitpur Kachya B.O,B.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Sagar,Sagar,MADHYA PRADESH
470223,Madi Jamuniya B.O,B.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Sagar,Sagar,MADHYA PRADESH
470223,Patna Khurai B.O,B.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Sagar,Sagar,MADHYA PRADESH
470223,Rampur B.O,B.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Rehli,Sagar,MADHYA PRADESH
