pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
445001,Asegaon Devi B.O,B.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Asola B.O,B.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Awdhutwadi (Yavatma)l S.O,S.O,Non-Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Chhoti Gujri (Yavatmal) S.O,S.O,Non-Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Govt Poly (Yavatmal) S.O,S.O,Non-Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Kapra Methad B.O,B.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Karalgaon B.O,B.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Moha B.O,B.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Postal Colony (Yavatmal) S.O,S.O,Non-Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Sawar B.O,B.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Tilakwadi (Yavatmal) S.O,S.O,Non-Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Yavatmal H.O,H.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
445001,Yavatmal Town S.O,S.O,Non-Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA
