pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
442916,Dhanoli B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Kadholi B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Kanhalgaon B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Kodsi B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Korpana B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Kothada B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Mandwa B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Matha B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Naranda B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Pardi B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Pipri (Naranda) B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Rupapet B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Serja B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Sonurli B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Vansadi S.O,S.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
442916,Yergavhan B.O,B.O,Delivery,Chandrapur,Nagpur,Maharashtra,Korpana,Chandrapur,MAHARASHTRA
