pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
133206,Azizpur B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Ambala,Yamuna Nagar,HARYANA
133206,Binjalpur B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Chhachhrauli,Yamuna Nagar,HARYANA
133206,Fatehgarh Tumbi B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Ambala,Yamuna Nagar,HARYANA
133206,Haibatpur B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Chhachhrauli,Yamuna Nagar,HARYANA
133206,Sahela B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Chhachhrauli,Yamuna Nagar,HARYANA
133206,Sarawan S.O,S.O,Delivery,Ambala,Ambala  HQ,Haryana,Yamuna Nagar,Yamuna Nagar,HARYANA
133206,Sardaheri B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Chhachhrauli,Yamuna Nagar,HARYANA
133206,Shahpur Nurd B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Chhachhrauli,Yamuna Nagar,HARYANA
133206,Sherpur Sulkhani B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Chhachhrauli,Yamuna Nagar,HARYANA
133206,Zaffarpur B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Chhachhrauli,Yamuna Nagar,HARYANA
