pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
284001,Chauraha Municipal Board S.O,S.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,Jhansi,UTTAR PRADESH
284001,Jhansi Cantt. S.O,S.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,Jhansi,UTTAR PRADESH
284001,Jhansi H.O,H.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,Jhansi,UTTAR PRADESH
284001,Jhansi Kutchery S.O,S.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,Jhansi,UTTAR PRADESH
284001,Jhansi Sadar Bazar S.O,S.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,Jhansi,UTTAR PRADESH
284001,Lal Kurti Bazar B.O,B.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,Jhansi,UTTAR PRADESH
