pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
144525,Chandiani Khurd B.O,B.O,Delivery,Hoshiarpur,Chandigarh Region,Punjab,Balachaur,Nawanshahr,PUNJAB
144525,Makhoopur B.O,B.O,Delivery,Hoshiarpur,Chandigarh Region,Punjab,Balachaur,Nawanshahr,PUNJAB
144525,Mallewal B.O,B.O,Delivery,Hoshiarpur,Chandigarh Region,Punjab,Nawanshahar,Hoshiarpur,PUNJAB
144525,Sahdra B.O,B.O,Delivery,Hoshiarpur,Chandigarh Region,Punjab,Balachaur,Nawanshahr,PUNJAB
144525,Sahiba S.O,S.O,Delivery,Hoshiarpur,Chandigarh Region,Punjab,Balachaur,Nawanshahr,PUNJAB
