pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
413319,Bhalvani B.O,B.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalvedha,Solapur,MAHARASHTRA
413319,Donaj B.O,B.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalvedha,Solapur,MAHARASHTRA
413319,Huljanti B.O,B.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalvedhe,Solapur,MAHARASHTRA
413319,Marwade S.O,S.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalvedha,Solapur,MAHARASHTRA
413319,Nandur B.O,B.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalwedha,Solapur,MAHARASHTRA
413319,Salgar BK B.O,B.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalwedha,Solapur,MAHARASHTRA
413319,Shivangi B.O,B.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalwedha,Solapur,MAHARASHTRA
413319,Talsangi B.O,B.O,Delivery,Pandharpur,Pune,Maharashtra,Mangalwedha,Solapur,MAHARASHTRA
