pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
133102,Chudiala B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Ambala,Ambala,HARYANA
133102,Dinarpur B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Barara,Ambala,HARYANA
133102,Kesri S.O,S.O,Delivery,Ambala,Ambala  HQ,Haryana,Ambala,Ambala,HARYANA
133102,Khanpur B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Barara,Ambala,HARYANA
133102,Landa B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Ambala,Ambala,HARYANA
133102,Nagla Jattan B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Barara,Ambala,HARYANA
133102,Pasiala B.O,B.O,Delivery,Ambala,Ambala  HQ,Haryana,Barara,Ambala,HARYANA
