pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
125077,Buraj Bhangu B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
125077,Chormar B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
125077,Khairkan B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
125077,Nezadela Khurd B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
125077,Nuhianwali B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
125077,Odhan S.O,S.O,Delivery,Hissar,Ambala  HQ,Haryana,Sirsa,Sirsa,HARYANA
125077,Paniwala Mota B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
125077,Panjuana B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
125077,Sahuwala B.O,B.O,Delivery,Hissar,Ambala  HQ,Haryana,Odhan,Sirsa,HARYANA
