pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
481226,Beni B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Khairlanji,Balaghat,MADHYA PRADESH
481226,Budhi B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Chikhla B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Hatta Road B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Hatta S.O (Balaghat),S.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Kariadand B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Keshalewada B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Khara B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Mate B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Mauda B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Mohgaon-khurd B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Newargaon Kala B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Saleteka B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Kirnapur,Balaghat,MADHYA PRADESH
481226,Seoni Sarad B.O,B.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Seoni,Seoni,MADHYA PRADESH
