pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
384245,Adgam B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Amrapuara B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Anvarpura B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Baspa B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Bhadrada B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Chandur Nani B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Dadar B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Daudpur B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Dudkha B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Gajdinpura B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Gujarwada B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Kanij B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Mandvi B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Mota Joravarpura B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Nayka B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Rafu B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Ranavada B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Harij,Patan,GUJARAT
384245,Sami S.O,S.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Samsherpura B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Varana B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Ved B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
384245,Zilvana B.O,B.O,Delivery,Patan,Ahmedabad HQ,Gujarat,Sami,Patan,GUJARAT
