pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
145023,Bhabber B.O,B.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,,Gurdaspur,PUNJAB
145023,Ferozepur Kalan B.O,B.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,Pathankot,Gurdaspur,PUNJAB
145023,Gho B.O,B.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,Pathankot,Gurdaspur,PUNJAB
145023,Pinjore B.O,B.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,Pathankot,Gurdaspur,PUNJAB
145023,Ranipur B.O,B.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,Pathankot,Gurdaspur,PUNJAB
145023,Sujanpur S.O (Gurdaspur),S.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,Pathankot,Pathankot,PUNJAB
