pincode,officename,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename
222203,Adiar B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahu,Jaunpur,UTTAR PRADESH
222203,Ashapur B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Ashawan B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Badkhin B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Banidih B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Bhanpur B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Bharathipur B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Bhiura B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahu,Jaunpur,UTTAR PRADESH
222203,Gandhauna B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Hariharpur B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Marikpur B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,,Jaunpur,UTTAR PRADESH
222203,Pachawal B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Prithvipur B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Rampur S.O (Jaunpur),S.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Sureri B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
222203,Wazidpur B.O,B.O,Delivery,Jaunpur,Allahabad,Uttar Pradesh,Mariahun,Jaunpur,UTTAR PRADESH
